year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-02,orebushi,2026-07-22,17:30,[大阪府] ＳｋｙシアターＭＢＳ,7,1,0,6,30000.0,30000,30000
2026-02,orebushi,2026-07-24,17:30,[大阪府] ＳｋｙシアターＭＢＳ,7,1,0,6,15000.0,15000,15000
2026-02,orebushi,2026-07-26,12:00,[大阪府] ＳｋｙシアターＭＢＳ,7,1,0,6,15200.0,15200,15200
2026-02,orebushi,2026-07-30,17:30,[大阪府] ＳｋｙシアターＭＢＳ,7,1,0,6,25000.0,25000,25000
2026-02,orebushi,2026-08-01,12:00,[大阪府] ＳｋｙシアターＭＢＳ,10,1,0,9,16800.0,0,27000
2026-02,orebushi,2026-08-01,17:30,[大阪府] ＳｋｙシアターＭＢＳ,8,1,1,6,114500.0,30000,190000
2026-02,orebushi,2026-08-02,12:00,[大阪府] ＳｋｙシアターＭＢＳ,7,1,0,6,25000.0,25000,25000
