year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-04,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,33,1,11,21,31348.484848484848,4000,52000
2026-04,acees-arena-tour-v,2026-07-10,17:30,有明アリーナ,28,1,9,18,24817.85714285714,8900,30000
2026-04,acees-arena-tour-v,2026-07-11,12:30,有明アリーナ,62,2,14,46,23919.354838709678,0,50000
2026-04,acees-arena-tour-v,2026-07-11,17:30,有明アリーナ,42,1,5,36,29928.571428571428,2000,40000
2026-04,acees-arena-tour-v,2026-07-12,12:30,有明アリーナ,15,0,5,10,30800.0,1500,38000
2026-04,acees-arena-tour-v,2026-07-12,17:30,有明アリーナ,8,0,7,1,19187.5,1500,35000
2026-04,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,47,2,3,42,47446.8085106383,30000,60000
2026-04,acees-arena-tour-v,2026-08-29,17:30,Asueアリーナ大阪,41,2,3,36,31297.560975609755,10000,48800
2026-04,acees-arena-tour-v,2026-08-30,12:30,Asueアリーナ大阪,5,0,3,2,31200.0,0,55000
2026-04,acees-arena-tour-v,2026-08-30,17:30,Asueアリーナ大阪,101,5,6,90,52990.09900990099,3000,120000
