year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-03,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,13,2,1,10,27769.23076923077,0,55000
2026-03,ae-group-live-tour-runway,2026-07-05,12:30,横浜アリーナ,16,2,4,10,53437.5,45000,58000
2026-03,ae-group-live-tour-runway,2026-07-05,17:00,横浜アリーナ,4,0,4,0,39500.0,10000,55000
2026-03,ae-group-live-tour-runway,2026-07-06,18:00,横浜アリーナ,9,1,3,5,52222.22222222222,50000,60000
2026-03,ae-group-live-tour-runway,2026-07-07,12:30,横浜アリーナ,10,1,4,5,53900.0,10000,70000
2026-03,ae-group-live-tour-runway,2026-07-07,17:00,横浜アリーナ,29,4,5,20,46758.620689655174,30000,60000
2026-03,ae-group-live-tour-runway,2026-07-11,18:00,エコパアリーナ,70,11,4,55,44214.28571428572,20000,64000
2026-03,ae-group-live-tour-runway,2026-07-12,12:30,エコパアリーナ,45,7,3,35,53967.88888888889,25000,70000
2026-03,ae-group-live-tour-runway,2026-07-12,17:00,エコパアリーナ,49,7,7,35,65102.04081632653,0,100000
