year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-07,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,888,214,48,626,37880.40315315315,0,150000
2026-07,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,569,134,19,416,36988.65377855887,0,100000
2026-07,milesixtones-2026,2026-11-07,17:00,ヤンマースタジアム長居,296,69,13,214,40865.81756756757,0,90000
2026-07,milesixtones-2026,2026-11-08,17:00,ヤンマースタジアム長居,417,111,11,295,36074.73381294964,0,85000
2026-07,milesixtones-2026,2026-11-21,16:30,日産スタジアム,469,116,10,343,41376.609808102345,0,90000
2026-07,milesixtones-2026,2026-11-22,16:30,日産スタジアム,920,208,39,673,38736.73695652174,0,100000
