year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-04,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,28,3,9,16,40278.57142857143,10000,57500
2026-04,ae-group-live-tour-runway,2026-07-05,12:30,横浜アリーナ,7,3,4,0,51428.57142857143,25000,80000
2026-04,ae-group-live-tour-runway,2026-07-05,17:00,横浜アリーナ,28,4,2,22,36678.57142857143,23000,59000
2026-04,ae-group-live-tour-runway,2026-07-06,18:00,横浜アリーナ,21,4,2,15,33714.28571428572,24000,60000
2026-04,ae-group-live-tour-runway,2026-07-07,12:30,横浜アリーナ,19,3,1,15,48736.84210526316,25000,60000
2026-04,ae-group-live-tour-runway,2026-07-07,17:00,横浜アリーナ,13,1,7,5,48807.692307692305,30000,70000
2026-04,ae-group-live-tour-runway,2026-07-11,18:00,エコパアリーナ,30,6,2,22,46050.0,25000,68500
2026-04,ae-group-live-tour-runway,2026-07-12,12:30,エコパアリーナ,18,4,0,14,45000.0,25000,70000
2026-04,ae-group-live-tour-runway,2026-07-12,17:00,エコパアリーナ,58,12,12,34,49038.94827586207,5000,82000
