year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-07-11,18:00,朱鷺メッセ 新潟コンベンションセンター,80,0,51,29,11569.4,100,30000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-07-12,12:30,朱鷺メッセ 新潟コンベンションセンター,34,0,29,5,9819.64705882353,100,30000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-07-12,17:30,朱鷺メッセ 新潟コンベンションセンター,40,0,25,15,10589.775,100,32000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-07-31,18:00,GLION ARENA KOBE,33,0,10,23,19771.515151515152,0,39500
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-01,12:30,GLION ARENA KOBE,22,0,13,9,15262.681818181818,9000,40000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-01,17:30,GLION ARENA KOBE,35,2,14,19,21619.97142857143,3500,50000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-02,12:30,GLION ARENA KOBE,38,3,12,23,21113.157894736843,3500,40000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-02,17:30,GLION ARENA KOBE,38,4,10,24,15078.947368421053,0,45000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-20,18:00,有明アリーナ,67,7,11,49,21523.582089552237,0,48000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-21,13:00,有明アリーナ,54,5,15,34,18946.51851851852,0,38000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-21,18:00,有明アリーナ,76,8,17,51,21365.592105263157,5000,72550
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-22,12:30,有明アリーナ,95,12,15,68,19695.726315789474,5170,38000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-22,17:30,有明アリーナ,85,8,28,49,21590.435294117648,0,80000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-23,12:30,有明アリーナ,63,5,27,31,15408.857142857143,0,42000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-08-23,17:30,有明アリーナ,143,17,27,99,25449.60839160839,0,100000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-10-03,18:00,マリンメッセ福岡 A館,113,15,12,86,22774.16814159292,0,50000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,12:30,マリンメッセ福岡 A館,43,5,8,30,10190.302325581395,0,35000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,45,6,7,32,7843.044444444445,5500,20000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,26,3,7,16,11605.115384615385,6205,25000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,12:30,セキスイハイムスーパーアリーナ,47,5,12,30,15578.04255319149,0,50000
2026-05,key-to-lit-arena-tour-2026-neo-classics,2026-10-10,17:30,セキスイハイムスーパーアリーナ,115,13,29,73,28953.808695652173,3800,60000
