year_month,event_id,perf_date,perf_time,venue,total_tickets,active_tickets,sold_tickets,deleted_tickets,avg_price,min_price,max_price
2026-07,acees-arena-tour-v,2026-07-10,12:30,有明アリーナ,111,66,19,26,21965.45045045045,2500,50000
2026-07,acees-arena-tour-v,2026-07-10,17:30,有明アリーナ,94,46,21,27,22967.308510638297,3000,50000
2026-07,acees-arena-tour-v,2026-07-11,12:30,有明アリーナ,108,53,36,19,21129.194444444445,0,48000
2026-07,acees-arena-tour-v,2026-07-11,17:30,有明アリーナ,122,51,45,26,21508.508196721312,2000,42000
2026-07,acees-arena-tour-v,2026-07-12,12:30,有明アリーナ,106,60,26,20,25006.915094339623,0,50000
2026-07,acees-arena-tour-v,2026-07-12,17:30,有明アリーナ,123,74,24,25,26086.154471544716,0,50000
2026-07,acees-arena-tour-v,2026-08-29,12:30,Asueアリーナ大阪,8,5,1,2,50125.0,19000,105000
2026-07,acees-arena-tour-v,2026-08-29,17:30,Asueアリーナ大阪,6,5,1,0,33133.333333333336,10000,49000
2026-07,acees-arena-tour-v,2026-08-30,12:30,Asueアリーナ大阪,4,3,0,1,21125.0,12000,30000
2026-07,acees-arena-tour-v,2026-08-30,17:30,Asueアリーナ大阪,10,6,1,3,31600.0,0,75000
