ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,status,quantity,price,raw_description,details_fetched,year_month
sold_1769861896183,1769861896183,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,公演日2日前にQRコード共有,,,,,2026-01-31 12:18:16,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,2,30000,中止の際は返金致します。,False,2026-01
sold_1769422046136,1769422046136,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,公演前日QRコード共有,,,,,2026-01-26 10:07:26,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,2,40000,"初期当選/QR毎/重複・すり替えなし/着ブロ希望なし/郵送物戻りなし/下3桁提示可能/同行者登録可

公演日前日に連絡ボードにてログイン情報をお伝えします。同行...",False,2026-01
sold_1769486802757,1769486802757,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,前日夜にログイン情報お渡し,,,,,2026-01-27 04:06:42,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,2,56000,"過去2回スタンド名義/初期当選/QR毎/すり替えなし/着ブロ希望なし/郵送物戻りなし/下3桁提示可能/同行者登録可

公演日前日に連絡ボードにてログイン情報をお...",False,2026-01
sold_1769414919488,1769414919488,ae-group-live-tour-runway,2026-07-04,18:00,[神奈川県] 横浜アリーナ,electronic,female,同行,,,,,2026-01-26 08:08:39,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,2,35000,"FC先行 座席未定 2名義中2番手 すり替えなし 初期当選 有効期限内 下三桁提示可


・公演当日は開場時間20〜30分前に会場付近で待ち合わせをし、同時入場...",False,2026-01
sold_1769532754475,1769532754475,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,同行,,,,,2026-01-27 16:52:34,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,1,50000,"初期当選 同行者募集
下3桁提示、同行者登録、本人確認対応可能

公演当日、会場付近にて集合し、同時入場していただきます。詳細はご入金後にお話いたします。

チ...",False,2026-01
sold_1769503886974,1769503886974,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,同行,,,,,2026-01-27 08:51:26,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,1,40000,"2名義中2番手/すり替え無し/下3桁提示可 /共に初期当選/着ブロ無し/同一クレカ無し/
・開場15分前に待ち合わせ予定です
・入場の際に買い手様の端末にて発券...",False,2026-01
sold_1769519668511,1769519668511,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,前日にログイン情報の共有,,,,,2026-01-27 13:14:28,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,2,45000,"QR毎/FC初期当選/すり替え無し/下3桁提示可能/有効期限内/女性名義

公演中止以外でのキャンセル不可

本人確認、システムエラー（赤線、ランダム）体調不良...",False,2026-01
sold_1769427367546,1769427367546,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,前日にログイン情報のお渡し,,,,,2026-01-26 11:36:07,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,2,48000,"QR毎/FC初期当選/すり替え無し/下3桁提示可能/有効期限内/女性名義

公演中止以外でのキャンセル不可

本人確認、システムエラー（赤線、ランダム）体調不良...",False,2026-01
sold_1769506906481,1769506906481,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,同行,,,,,2026-01-27 09:41:46,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,1,50000,"2名義中1番手同行/初期当選のみ/すり替えなし/下3桁提示可能/有効期限内

小島担不可

当日は開場の15分程前に会場付近で待ち合わせの上、同時入場していただ...",False,2026-01
sold_1769506437764,1769506437764,ae-group-live-tour-runway,2026-07-04,18:00,横浜アリーナ,electronic,female,同行,,,,,2026-01-27 09:33:57,2026-06-28 14:01:23,2026-06-20 16:01:09,sold,2,40000,"2名義中2番手/初期当選のみ/すり替えなし/下3桁提示可能/有効期限内

当日は開場の15分程前に会場付近で待ち合わせの上、同時入場していただきます。

入場後...",False,2026-01
